Sender,Subject,Date,Message body
YALI Network <yalin.mailer@state.gov>,Celebrate International Youth Day with YALILearns,2020-08-12,"No images? Click here <URL> Dear Okwudili, Happy International Youth Day! Today, you can both learn and teach others how to effectively advocate for the youth in your community by facilitating a Virtual YALILearns session. By facilitating a Virtual YALILearns session with the YALI Network Online Course,"" Creating and Maintaining Social Enterprises [<URL>],"" you can teach others about the best practices for developing nongovernmental organizations and how to meet the needs of your community. You can still plan a virtual session, by visiting yali.state.gov/learns [<URL>] for the Virtual Session Planning Toolkit [<URL>] and Facilitation Guide [<URL>]. And don't forget that you can earn a custom YALILearns certificate, by sharing the details of your session with us. Click the link below to start earning your certificate! Tell us about your YALILearns session [<URL>] In the coming weeks, the YALI Network Team will review all of the submissions and issue custom certificates for exceptional Virtual YALILearns sessions. Please note that certificates will only be issued to Network Members who facilitated a virtual session of their own in the recent month. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,YALIProfessionals 2020 is Here!,2020-08-11,"No images? Click here <URL> Dear Okwudili, Today, we're excited to announce the launch of YALIProfessionals [<URL>]! Over the next five weeks, we'll be exploring new online courses, videos, blog posts, workbooks, and more to help you build your skills and take your career to the next level. No matter where you are in your professional career or what career path you've chosen, you can be a YALI Professional. If you're ready to get started on expanding your professional skills, you can start today with the YALI Network Video Vignette Series, ""Emotional Intelligence."" These videos will help you better understand and manage your stress to build healthy relationships and positively transform your community. Watch the Videos [<URL>] In the coming weeks, we'll be sharing even more YALIProfessionals resources, including a brand new online course. Keep an eye on our Facebook [<URL>] and Twitter [<URL>] pages for more over the coming weeks! Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Celebrating YOU- the YALI 10 Generation!,2020-08-07,"Join me for a special #YALI10 Facebook Live No images? Click here <URL> Dear Okwudili, It's hard to believe it, but this week marked the 10th anniversary of YALI. Wow! YALI's inaugural program in 2010 brought 115 young leaders to Washington, D.C. to participate in a forum hosted by President Obama. Today, YALI has over 21,000 alumni and membership in the online YALI Network is over 650,000 strong. As the Special Coordinator for YALI at the U.S. Department of State, I am blessed with the opportunity to be serving a second Foreign Service tour supporting this amazing program. During my first assignment in 2011, I supported a forum for Young African Women Leaders who transformed their communities and their countries through their inspiring work. A lot has changed since the beginning of YALI, but the caliber of YALI members has remained constant. YOU, the young leaders who embody YALI's spirit of service leadership, make YALI more than just another program. For example, the YALI Network issued over 10,000 online course certificates during the recent YALIServes [<URL>] campaign, as members increased their knowledge on how to grow as individuals, community members, and business leaders to positively serve their communities. Many of you then used these skills to hold a virtual community service event in honor of Nelson Mandela Day. ""The YALIServes campaign,"" said one Network member, ""has developed me into a leader who is prepared to fight all social issues in my community. It has also prepared me to be an entrepreneur and a leading example. It has improved both my confidence and commitment to my community."" Who is the YALI generation? It is 2011 alumna Robyn Kriel, a fearless reporter from Zimbabwe who has written about corruption and human rights abuses in her country. She was beaten by police and her mother was imprisoned, but Robyn continued reporting because the people of Zimbabwe ""want their stories to be told."" The YALI generation is Network member Sam Sheka Moi from Sierra Leone, who regularly leads service projects to make a positive impact in his community. Sam has completed 21 YALI Network Online Courses and in turn has organized several YALILearns [<URL>] events to spread his knowledge using materials from campaigns like Africa4Her [<URL>], YALIGoesGreen [<URL>], and YALIEntrepreneurs [<URL>]. It is Dr. Laud Anthony Basing, a 2016 alumnus from Ghana who recently led a team of scientists to develop a Rapid Diagnostic Test for COVID-19. Dr. Basing credits his Fellowship experience and expanded professional network as key components in reaching the full potential of his business and work. And of course, YOU! Every member of the YALI Network is making small changes that lead to big impacts across the continent. Yours is the generation that is rising up to meet today's challenges, including COVID-19, the locust plague in East Africa, and a global reckoning on social justice. Please join me on Saturday, August 8 at 4pm GMT for a Facebook Live iReport on YALI TV commemorating #YALI10! Watch YALI TV [<URL>] Happy 10th Anniversary, YALI! Elizabeth Liu Special Coordinator for the Young African Leaders Initiative You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,How will you advocate for Africa’s youth?,2020-08-05,"No images? Click here <URL> Dear Okwudili, The youth of Africa is the future of Africa. And now more than ever, we must all learn how to advocate for youth and help teach them how to advocate for themselves. In honor of International Youth Day on August 12, we're encouraging everyone to facilitate a Virtual YALILearns session on the YALI Network Online Course, "" Creating and Maintaining Social Enterprises [<URL>],"" which teaches the best practices for meeting the needs of a community and effectively advocating for youth. With the COVID-19 pandemic, we're not encouraging in-person gatherings at this time. However, facilitating a virtual session on the YALI Network Online Course, "" Creating and Maintaining Social Enterprises [<URL>],"" will allow you to safely share ideas and knowledge with your community, without meeting in person. To facilitate a Virtual YALILearns session, you'll simply lead a chat on the social media platform of your choice to discuss what you've learned from this online course. But don't worry - we have plenty of resources to help you through the process. To plan your Virtual YALILearns session: Download the Virtual Session Planning Toolkit [<URL>] for step-by-step instructions. Earn your certificate for the YALI Network Online Course, "" Creating and Maintaining Social Enterprises [<URL>]."" Download the Facilitation Guide [<URL>] and choose one or two of the discussion questions you'd like to use for your virtual session. Share your session with us! In the coming weeks, we'll follow up with you on how to earn your YALILearns certificate. You can also connect with other YALI Network members and invite them to your virtual session by using the hashtag #YALILearns across social media. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Happy 10 Year Anniversary of YALI!,2020-08-02,"Celebrate with two birthday presents! No images? Click here <URL> Dear Okwudili, Today marks the 10 Year Anniversary of YALI! We want to celebrate the day with you- the people who have helped make YALI such a success for an entire decade. To kick off the celebration, we're unwrapping two special birthday presents! A NEW Online Course: Our ""Smart Entrepreneurship"" online course [<URL>] is live today in English, French [<URL>], and Portuguese [<URL>]. The course outlines ways to take your startup business to the next level. A #YALI10 Facebook Frame: Click here to update your Facebook profile [<URL>] photo to show everyone how you're celebrating the big day. Thank you for continuing to support YALI and helping to make it great for the last 10 years. Here's to 10 more! The YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,We want your thoughts on YALIServes 2020!,2020-07-24,"No images? Click here <URL> Dear YALI Network Member, Thank you for your participation in YALIServes! You were one of the thousands of dedicated YALI Network Members who decided to stand together and serve Africa -- and we want to hear from you! If YALIServes helped you develop your skills as an individual, a community leader, and a business owner, then we want to know more! Click the button below to take a quick survey and share your YALIServes experience with us! Take the Survey [<URL>] Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,It’s time to create change with YALILearns,2020-07-22,"No images? Click here <URL> Dear Okwudili, Youth Skills Day may have passed, but you can still empower the youth in your community to develop their skills with YALILearns. By facilitating a Virtual YALILearns session with the YALI Network Video Vignette Series, "" Emotional Intelligence [<URL>],"" you can teach others about the basics of emotional intelligence and how it can be a useful tool to transform yourself, your business, and your community. You can still plan a virtual session, by visiting yali.state.gov/learns [<URL>] for the Virtual Session Planning Toolkit [<URL>] and Facilitation Guide [<URL>]. And don't forget that you can earn a custom YALILearns certificate, by sharing the details of your session with us. Click the link below to start earning your certificate! Tell us about your YALILearns session [<URL>] In the coming weeks, the YALI Network Team will review all of the submissions and issue custom certificates for exceptional Virtual YALILearns sessions. Please note that certificates will only be issued to Network Members who facilitated a virtual session of their own in the recent month. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,It’s Time to Serve Africa - Together!,2020-07-18,"No images? Click here <URL> Dear Okwudili, It's finally here - the YALIServes Digital Day of Action! Today is your chance to digitally join together with thousands of other young leaders across all of Africa and serve each other. If you are hosting a virtual event today, make sure to double check that you have everything prepared and ready to go! You can use the promotional image below to help advertise your event and don't forget to use the hashtags #YALIServes and #DigitalDayofAction to connect with others who are serving today! If you're hosting a Virtual YALILearns session as your digital action, remember you can also check out the YALILearns Virtual Toolkit and Facilitation Guides to help you lead your session. Digital Day Resources and Information [<URL>] If you're looking to join one of the digital actions today, check out the YALI Network face2face [<URL>] group to find an event that interests you. Don't forget that you can also take the YALIServes Online Courses [<URL>] and complete the YALIServes Business Analysis Workbook [<URL>] to help prepare! Best of luck, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Don’t Miss your Chance to Serve Africa!,2020-07-14,"No images? Click here <URL> Dear Okwudili, There are just four days left until the YALIServes Digital of Action! If you're organizing a digital event or Virtual YALILearns session, take the next few days to practice and make sure you're ready to go. Make sure to also send a reminder to your participants about the time and social media place. You can also use the YALI Network face2face group [<URL>] to invite participants. And for those of you not organizing a digital event, the Facebook group is a great place to find events to join! For more information or resources on the YALIServes Digital Day of Action, check out the YALIServes page. Learn More About the Digital Day of Action [<URL>] As we all prepare to Serve Africa Together, don't forget to get ready with the YALIServes resources. The YALIServes courses [<URL>] will allow you to build your skills as an individual and community leader, while the Business Analysis Workbook [<URL>] will help you guide your company or organization through difficult times. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,You’re Invited: YALIServes Digital Day of Action,2020-07-07,"No images? Click here <URL> Dear Okwudili, This year, in honor of International Nelson Mandela Day on July 18, please join us as we virtually Serve Africa Together with the YALIServes Digital Day of Action [<URL>]! The Digital Day of Action will be a day for young leaders across all of Africa, to join together to serve their digital communities. If you would like to join one of these virtual events, then check out the YALI Network face2face group [<URL>] for an event that interests you. If you would like to organize your own digital action, then there's still time! You can easily organize a Virtual YALILearns session on one of the YALIServes Online Courses. You can start organizing your session using the YALILearns Virtual Toolkit and YALIServes Facilitation Guides found below. Start Planning Your Virtual Session [<URL>] No matter if you're joining or leading a virtual event next week, you can still take advantage of the YALIServes resources to build your skills as an individual, community leader, and business owner. Earn your course certificates [<URL>] and complete the workbook [<URL>] to get started! Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Message from Ambassador Nagy on George Floyd's Death,2020-06-16,"No images? Click here <URL> Hello YALI Network members, Like many of you, the deaths of George Floyd, Ahmaud Arbery, and Breonna Taylor and recent events have shocked and saddened me. Across the continent in countries like Nigeria, Kenya, and South Africa, Africans have rallied to express their dismay at the brutal death of George Floyd in Minneapolis and are calling for justice. I salute their peaceful expression of solidarity in support of the ideals of equal justice. George Floyd's death reminds us that we must work harder to secure the blessings of liberty for all Americans, while we also defend the rights of people throughout Sub-Saharan Africa to live in freedom and equality. Our democracy is a work in progress, it is not perfect. We are witnessing progress in action as thousands of Americans throughout the country confront racism and injustice openly and demand change with civil society pushing our government toward positive change. I am confident that justice will prevail and that the United States will be a better nation for it on the other side. The United States invests in Sub-Saharan Africa because we believe in its people and their right to live in peace and good health, in a democracy where there is justice and economic opportunities. As we strive to perfect our American democracy and live up to our ideals, we will continue to seek the same commitment of our friends and partners around the world. It is up to each of us to do our part. The Young African Leaders Initiative was founded on the belief in the potential of Africa's youth to be a force for change across the continent. This starts with embracing the values of and modeling servant leadership. If you haven't already, I encourage you to take the YALI Network Online Course on Servant Leadership [<URL>], and to participate in YALIServes [<URL>] to demonstrate how you are making an impact in your community to address the issues you see most pressing. Each of us can make a difference for the good of others. We look forward to seeing how you are making your communities a better place. In Solidarity, Ambassador Tibor Nagy Assistant Secretary of State, Bureau of African Affairs You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
